State,Population,Density
Alaska,370973,1.00
Alabama,3680530,27.00
Arkansas,2158290,16.00
Arizona,2286350,8.00
California,21536700,51.00
Colorado,2586140,10.00
Connecticut,3084730,215.00
Delaware,588756,91.00
Florida,8541660,50.00
Georgia,5058540,33.00
Hawaii,875052,31.00
Iowa,2881430,20.00
Idaho,831981,4.00
Illinois,11306400,75.00
Indiana,5351080,57.00
Kansas,2278620,11.00
Kentucky,3468760,33.00
Louisiana,3886960,29.00
Massachusetts,5762140,211.00
Maryland,4157210,129.00
Maine,1073280,12.00
Michigan,9107840,36.00
Minnesota,3925790,17.00
Missouri,4795380,27.00
Mississippi,2399920,19.00
Montana,749208,2.00
North Carolina,5535100,40.00
North Dakota,638469,3.00
Nebraska,1541440,8.00
New Hampshire,830025,34.00
New Jersey,7341420,325.00
New Mexico,1162680,4.00
Nevada,619847,2.00
New York,18032300,128.00
Ohio,10770500,93.00
Oklahoma,2771860,15.00
Oregon,2324620,9.00
Pennsylvania,11897800,100.00
Rhode Island,946339,237.00
South Carolina,2900160,35.00
South Dakota,681420,3.00
Tennessee,4260830,39.00
Texas,12568200,18.00
Utah,1233940,6.00
Virginia,5056390,46.00
Vermont,479894,19.00
Washington,3618820,20.00
Wisconsin,4569620,27.00
West Virginia,1840550,29.00
Wyoming,380477,2.00